symbol,address,price_usd,multiplier,phantom_raw,graduation_raw
CRM,0xd95B44124e475743a7589e68F3D74008A5536D44,250.54,1,15965514000000000000,39913786000000000000
P,0x1Cdad396DB64BDa184d5182A97Dd9B3C62100b7D,97.61,1,40979408000000000000,102448520000000000000
CIEN,0x44f6D488021f8233B9416294d1FE9b1fEe28382d,340.5,1,11747430000000000000,29368576000000000000
ON,0xbBD09F72b025360FeE5C928053Dca6248d35be54,66.6,1,60060060000000000000,150150150000000000000
APLD,0xb8DBf92F9741c9ac1c32115E78581f23509916FD,24.39,1,164001640000000000000,410004100000000000000
AEHR,0x5F604fBA1162193A4388A5DFa56F556f3E133cC2,84.25,1,47477745000000000000,118694362000000000000
TEAM,0x5B97476b922F3305131B8f0B9D333172E87f4aaE,190.28,1,21021652000000000000,52554131000000000000
QBTS,0xC583c60aeF9Dc401Da72cEC1B404743a93cea1Cc,16.27,1,245851260000000000000,614628150000000000000
FIX,0x93Dbb1d2Dc5D63F4abACFF30485273f538Df68Ac,1587.35,1,2519923000000000000,6299808000000000000
MTSI,0xC93f4d80e268AB922e871bd169156C3CC41894e6,251.75,1,15888779000000000000,39721946000000000000
SMCI,0xc01aA1fECeC0605b13bc84874ff7256C0f5F562a,36.85,1,108548168000000000000,271370421000000000000
DELL,0x941AE714EC6D8130c7B75d67160Ca08f1e7d11Dd,563.29,1.0000637086201245,7100686000000000000,17751714000000000000
MXL,0x48961813349333209994750ffA89b3c5C22eC969,69.51,1,57545677000000000000,143864192000000000000
RUN,0x756Bc80af765C82da966a788858d65aDF14f3793,8.27,1,483675937000000000000,1209189843000000000000
WDAY,0x82DA4646242e1D962e96e932269Dc644c94a9CaA,187.76,1,21303792000000000000,53259480000000000000
SPCX,0x4a0E65A3EcceC6dBe60AE065F2e7bb85Fae35eEa,150.88,1,26511135000000000000,66277837000000000000
GLXY,0x2D427692E928fa156ec22acfaBaFA0447C5805B7,22.27,1,179613830000000000000,449034576000000000000
CRWD,0xea72Ecca2d0f6bFA1394DBBCff85b52CD4233931,241.36,4,4143189000000000000,10357971000000000000
AVGO,0x156E175DD063a8cE274C50654eF40e0032b3fbcF,339.51,1,11781685000000000000,29454213000000000000
SPY,0x117cc2133c37B721F49dE2A7a74833232B3B4C0C,754.05,1,5304688000000000000,13261720000000000000
CCL,0x9651342CeA770aE9a2969Ba2A52611523146aef9,22.35,1.0214864448552063,175206356000000000000,438015889000000000000
GLD,0xC9a981FEE1F9DEc688bb123ccDeCc63D0deBFC4e,391.74,1,10210854000000000000,25527135000000000000
SNOW,0xBa0CAB75495255d0cB58E22B648bFED4ECD1F47E,331.02,1,12083862000000000000,30209655000000000000
FICO,0xa48F22A46C0F1C46CA7D111CB6c137c271987180,991.35,1,4034902000000000000,10087255000000000000
PR,0x4189F0c66EBBB0bfeF1C31f763131361EF32f77C,22.95,1.0044779422922294,173514949000000000000,433787373000000000000
QQQ,0xD5f3879160bc7c32ebb4dC785F8a4F505888de68,704.72,1,5676013000000000000,14190033000000000000
WYFI,0x9e7ABD3C9139D14E4c86DcE0e455AAB7A0C2FB3E,17.26,1,231749710000000000000,579374276000000000000
NNE,0xBEF75684C43c4ea7BD18Dd532a2244674Ee8b926,15.64,1,255754476000000000000,639386189000000000000
GE,0x63b814DDBd6BF339f25Fed8c36158a008D5B373e,312.9,1,12783637000000000000,31959092000000000000
SNAP,0xF6589F11Bc40b669e584073F428B05562F568733,5.72,1,699300699000000000000,1748251748000000000000
SKHY,0x84CAb63bc87912E71ad199ff14A0bA45de68FeF8,174.87,1,22874135000000000000,57185338000000000000
CBRS,0x5c90450Bbb4273D7b2f17CF6917AEB237A569679,190.47,1,21000683000000000000,52501706000000000000
FUTU,0xeB30663bDFf0622Ef4e4E5cBb4E975F19f33f51D,109.82,1,36423238000000000000,91058095000000000000
TSM,0x58FfE4a942d3885bAa22D7520691F611EF09e7AA,417.72,1.0014630241596905,9561803000000000000,23904508000000000000
NU,0x408c14038a04f7bD235329E26d2bf569ee20e250,13.81,1,289645185000000000000,724112962000000000000
INTC,0xc72b96e0E48ecd4DC75E1e45396e26300BC39681,101.05,1,39584364000000000000,98960910000000000000
MSFT,0xe93237C50D904957Cf27E7B1133b510C669c2e74,490.3,1.000412952576206,8154903000000000000,20387257000000000000
RCAT,0xFDE6b5d9BB419B10C23268c74e369AbFF39C0460,7.095,1,563777308000000000000,1409443270000000000000
RGTI,0x284358abc07F9359f19f4b5b4aC91901Be2597Ba,14.79,1,270453009000000000000,676132522000000000000
TTWO,0x5e81213613b6B86EaB4c6c50d718d34359459786,211.81,1,18884850000000000000,47212124000000000000
META,0xc0D6457C16Cc70d6790Dd43521C899C87ce02f35,673.31,1,5940800000000000000,14852000000000000000
VICR,0x6006ed4B2F94110851ff7509D97D034f0EeD9226,183.91,1,21749769000000000000,54374422000000000000
TSEM,0x89776d4Cd68193597A2fC132cfaC1fDe36CCeA8a,202.2,1,19782394000000000000,49455984000000000000
RDDT,0x05b37Fb53A299a1b874A619e1c4C404D52C36F4C,157.6,1,25380711000000000000,63451777000000000000
GLW,0x7c04E6A3368F2A1DE3874f0e80d2e0A1a9915da6,144.16,1,27746948000000000000,69367370000000000000
UPS,0xf23250dac154D05Bb671CB0d0eBEf3c635c79CE2,98.77,1.0022087249692058,40408875000000000000,101022187000000000000
PANW,0xB039597eD45CBa7B6E2fb9E8BE51802969CEe5Be,375.65,1,10648210000000000000,26620524000000000000
LHX,0x48d60243c66437c6ac3c2495Be94747aEd5Dfe25,250.74,1,15952780000000000000,39881949000000000000
FLY,0x03BC731Ffb162cdd7B98D3C6542bFC291126075d,20.28,1,197238659000000000000,493096647000000000000
SNDK,0xB90A19fF0Af67f7779afF50A882A9CfF42446400,1519.97,1,2631631000000000000,6579077000000000000
BA,0x4D21483a44Bf67a86b77E3dA301411880797D452,201.96,1,19805902000000000000,49514755000000000000
INTU,0x56d23beE5f41A7120170b0c603Dae30128e460e9,318.13,1,12573476000000000000,31433691000000000000
ELF,0x39EC44Bee4F6A116c6F9B8De566848a985C53C60,93.41,1,42821968000000000000,107054919000000000000
AMZN,0x12f190a9F9d7D37a250758b26824B97CE941bF54,245.96,1,16262807000000000000,40657017000000000000
NFLX,0xE0444EF8BF4eD74f74FD73686e2ddF4C1c5591E8,76.41,1,52349169000000000000,130872922000000000000
CRCL,0xdF0992E440dD0be65BD8439b609d6D4366bf1CB5,80.45,1,49720323000000000000,124300808000000000000
USAR,0xd917B029C761D264c6A312BBbcDA868658eF86a6,15.1,1,264900662000000000000,662251656000000000000
VST,0x561e2a49212b7cCF47f2744Ccb83e200722fADBc,140.39,1,28492058000000000000,71230145000000000000
CSCO,0xF543967EEBB6f1917992eF0E68De63ab07a5a0dA,107.74,1,37126415000000000000,92816039000000000000
FISV,0x9ECe29A4A2397C0a35fb5fA8EE2b9509130a98cc,49.45,1,80889788000000000000,202224469000000000000
GOOGL,0x2e0847E8910a9732eB3fb1bb4b70a580ADAD4FE3,342.87,1.0001939244141125,11663967000000000000,29159918000000000000
BB,0x48E39E56aCdbA37b09020C0b734A613C9a2f100A,7.64,1,523560209000000000000,1308900524000000000000
CVNA,0xa4f319104089FE321dc8093C6E707d4fE190A988,65.4,1,61162080000000000000,152905199000000000000
AXTI,0x141eEa040c2250eEc0314e336975e81f85f6585e,64.3,1,62208398000000000000,155520995000000000000
MOD,0xc6Cbad1016b38B797610c25E1dc7D95988B1f362,181.18,1,22077492000000000000,55193730000000000000
LULU,0x4e62068525Ab11FE768e29dfD00ef909B9803016,95.98,1,41675349000000000000,104188373000000000000
LMT,0x329fcACEb9AD6F9580DD5F643fed0646900D043c,537.25,1,7445323000000000000,18613309000000000000
INFQ,0xB853bC83a753342a4f8320ea680b4B1E84118D21,12.84,1,311526480000000000000,778816199000000000000
SGOV,0x92FD66527192E3e61d4DDd13322Aa222DE86F9B5,100.55,1.005101770003215,39579279000000000000,98948198000000000000
OUST,0x40E7a279850e443f582059ae5dC1c3b6563E6395,33.99,1,117681671000000000000,294204178000000000000
IREN,0xF0AB0c93bE6F41369d302e55db1A96b3c430212D,42.62,1,93852651000000000000,234631628000000000000
MRNA,0x43B07D15cE533bEc5476d70C22a78a1B2B662155,145.62,1,27468754000000000000,68671886000000000000
LRCX,0x57b0030166DB0C31690d1A5aA167e2e26e2C29a4,269.23,1,14857185000000000000,37142963000000000000
BND,0x2F62fC9fAbb470C690f141c28340eD832bB27020,71.11,1,56250879000000000000,140627197000000000000
CEG,0xaE517A2903E68bd929Dfd15be875F8369D53e94a,259.53,1,15412476000000000000,38531191000000000000
ALAB,0x748c32c3ca24eDf31ea597Db1F3d330a7a6DA3Dc,269.18,1,14859945000000000000,37149863000000000000
TEM,0xB1CC0EC7Db69Cf43539119814df40071b9d61793,69.97,1,57167357000000000000,142918394000000000000
BULL,0xceF9027c7d6985b85f0BA431125073529A947A68,7.69,1,520156047000000000000,1300390117000000000000
UNH,0xcF364ea52787e289De6F32077834056E3E70D6A8,375.26,1.0042415010397021,10614256000000000000,26535640000000000000
CLOV,0x62200915e7DEab1eC7f79fb246daDbB80eACdDd0,4.56,1,877192982000000000000,2192982456000000000000
BABA,0xad25Ac6C84D497db898fa1E8387bf6Af3532a1c4,107.27,1,37289084000000000000,93222709000000000000
SIMO,0x77E655E37F4d913fB9540e0d541D824171a60e81,241.14,1,16587874000000000000,41469686000000000000
WDC,0xF52597345A8Edf418bc4071b4a35112472277D3e,416.97,1.0002175652505239,9590930000000000000,23977324000000000000
CLSK,0xcBB95BBF36099d34dA091dc6Fa6F49EfA257Cee3,12.79,1,312744332000000000000,781860829000000000000
PLTR,0x894E1EC2D74FFE5AEF8Dc8A9e84686acCB964F2A,174.34,1,22943673000000000000,57359183000000000000
MU,0xfF080c8ce2E5feadaCa0Da81314Ae59D232d4afD,926.55,1.0000748232191712,4316767000000000000,10791918000000000000
ASTS,0x1AF6446f07eb1d97c546AFC8c9544cBDF3AD5137,59.27,1,67487768000000000000,168719420000000000000
POWL,0x237c16D66590F67B886d978ACD362EAeaD8B18c7,177.71,1,22508581000000000000,56271453000000000000
VTI,0x0594134DF3f171a354D9C85eBD65b7A6148F6D09,371.26,1,10774121000000000000,26935301000000000000
RKLB,0x3b14C39E89D60D627b42a1A4CA45b5bb45Fc12e2,63.7,1,62794349000000000000,156985871000000000000
TER,0x2778C5024D5cA2CdB0f8eAD671ffc69963AdCD9C,341.15,1,11725048000000000000,29312619000000000000
CRWV,0x5f10A1C971B69e47e059e1dC91901B59b3fB49C3,83.35,1,47990402000000000000,119976005000000000000
CLS,0xBf449977089c718C004a66C554B26B94ef3Ad4De,323.83,1,12352160000000000000,30880400000000000000
FIG,0x41F4267525a8AFf329540eF24fD83d9044758B33,23.06,1,173460538000000000000,433651344000000000000
AMD,0x86923f96303D656E4aa86D9d42D1e57ad2023fdC,512.5,1,7804878000000000000,19512195000000000000
EWY,0x7f0aBeF0C07280F82c6a08ead09dEd6BAE2C13Fc,175.54,1,22786829000000000000,56967073000000000000
SLS,0x285b231728c7E4333799183DF1094d775246a535,11.66,1,343053173000000000000,857632933000000000000
CRDO,0x4D67253bc223e6b0e104F1084c1fb2b669dDC41b,161.49,1,24769336000000000000,61923339000000000000
SMH,0x072f979c2CAc8e1391B0162a87Fee094bF8744a0,545.56,1,7331916000000000000,18329790000000000000
VRT,0xFA78C12E6488814A0262E4e802749a4a737d5fB7,239.41,1.0001627888920521,16705020000000000000,41762551000000000000
NOW,0x0C3260aF4B8f13a69c4c2dFb84fD667890CDFa14,139.82,1,28608211000000000000,71520526000000000000
XLK,0x15Cd20759CE7F3285c29A319dE2D1A2e098c6f43,183.93,1,21747404000000000000,54368510000000000000
AMBA,0x99D9D8663545151603863C5AcbD6FC3218899009,62.77,1,63724709000000000000,159311773000000000000
NVDA,0xd0601CE157Db5bdC3162BbaC2a2C8aF5320D9EEC,213.9,1.0007751591646306,18685843000000000000,46714607000000000000
